FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1
792507,-1.487319488,-0.401580018,0.317241433,-0.151347428,-0.06016237
119107,-3.535022525,-0.979296503,-0.05338725,0.902715063,-0.743883396
816890,-0.565535235,0.939857965,0.957317731,-0.164224789,1.349655031
79016,-1.566096656,0.773227354,0.738096486,0.184279502,0.046371118
66915,-0.425568158,-0.046577565,0.786823521,0.319391936,0.595901349
894465,0.302850818,-0.113630429,0.351869854,1.128211607,-1.300840089
41874,-0.204741713,0.155446634,0.044831922,0.52564288,1.252898818
180228,-0.878286858,0.360189377,0.541241331,0.520869827,-1.409805781
26350,-2.783587555,-0.60794704,0.310205443,0.477596428,0.863617392
423829,-1.43411784,-0.210938897,0.289078245,0.692036429,-1.288438641
184502,-1.556568014,-0.08186236,0.493851561,0.362169515,-1.386885829
813392,-1.623807784,0.344975357,0.274670215,0.072680407,0.619580614
858827,-0.09954586,-0.59179377,0.449615786,0.237541592,-0.935030594
132940,-1.673200094,0.590764717,1.02955037,1.617479082,-0.654512757
803752,-2.736786464,-0.154634296,-0.263758274,1.152523049,1.049240538
754032,0.11083662,0.083622365,-0.030155264,0.349461444,-1.560396318
182900,-0.20360005,0.284637772,0.136325671,0.107193853,1.102623553
139026,0.103905365,-0.734123239,-0.036705717,0.343140996,-0.931750888
69402,0.535700995,1.04582558,1.170111354,-0.59478561,0.820593639
411761,-1.155386641,-0.188021599,0.683668605,-0.315216609,1.043496593
796734,0.047315682,-0.098941129,0.033688973,0.784505688,-1.39529492
622805,-0.259371743,0.478504076,0.055275487,0.425227417,-1.170333316
316834,-0.275988137,0.298663605,0.268772385,0.843239201,-1.343622703
239859,-2.612936801,-1.078269248,0.506826085,0.307816498,0.201015727
577627,0.221243439,-0.560163753,0.36712271,0.909425939,-0.737751662
583959,-0.837384231,0.379419886,0.182778628,0.232644491,-0.908064241
988440,-0.308874765,0.177776069,0.650880773,0.157909175,1.130629681
175553,-1.257301498,-0.11646935,0.139813131,0.78510677,-1.275324164
490416,-1.765326579,0.055782842,-0.08755882,0.453675264,0.12584943
197424,-0.263120156,0.0101461,0.212002072,-0.213867695,0.381272845
489316,-2.693260013,0.179865617,-0.303128315,0.881022889,-1.159299359
446509,0.737651373,-1.937730859,0.605408929,0.183764846,-0.42298705
219203,0.288931641,-0.986035304,0.137220311,-0.002934254,0.739483155
531986,0.01491449,-0.197431841,-0.036699943,0.552206042,-1.458348719
200791,-0.494330445,0.662279818,0.237198455,0.576478103,-0.816800337
100160,0.33606829,0.348417296,0.144442582,0.49907615,0.606063336
883318,0.929719497,-0.344317125,-0.211599257,0.031224954,-1.719286431
216348,-1.231731315,0.181533937,0.583858731,0.800474233,-1.278085311
927555,-0.551673866,0.351730816,0.606159344,0.655346392,-1.388639545
189644,-1.975495433,-0.06103879,0.439351006,0.599272288,-1.260928462
944084,-0.054551473,0.552966367,-0.29024128,-0.324305783,0.937655823
307461,-0.208165973,0.325871487,0.260708958,0.002785466,0.476592436
346336,-0.864504481,-1.478626854,0.245376992,-0.706477465,0.283150627
472102,0.783685668,-0.108202147,-0.693686884,-0.985736706,0.017325591
238115,-0.621641874,0.118797758,0.781631628,0.043811821,0.519793941
85915,0.120254158,-0.056191125,0.313243211,0.498671139,-1.498541475
187478,-0.095596643,0.175215996,0.711538562,0.084390986,0.487246589
84209,0.735096339,-0.682910629,0.85353464,0.926022143,-1.084101827
204901,-1.719947569,-0.367823748,0.518660439,-0.389336925,1.384802431
232480,-2.655304798,-1.558505904,-0.84248272,-0.170128771,-0.915065951
1535255,-2.655304798,-1.558505904,-0.84248272,-0.170128771,-0.915065951
131650,0.51967082,0.836465814,0.446294206,0.83107417,-0.81284359
317093,-1.476232166,-0.008146982,0.173470363,0.407263587,-1.385500135
350840,-0.274792261,0.907945312,0.029019552,0.211531691,0.551356494
467203,0.758255893,0.709851911,-0.063262939,-0.919916936,1.251573442
9680,-1.642507935,-0.22719611,0.435223156,0.375066493,0.138080011
137390,0.266985877,-0.157971845,-0.107820855,0.502399153,1.194442137
199995,-0.307246225,-0.824240262,0.13604194,-0.032033766,0.493503096
781423,-2.559529621,-0.618771455,-0.020196646,0.502863599,-1.293614171
325459,0.380679536,-0.25733151,-0.244973773,1.310960016,-0.628568978
414251,-0.271805474,0.745398333,0.193381639,0.137349313,1.115839061
530745,0.2095015,-0.686609773,0.751773685,0.041069538,-0.143264713
404434,-0.698040547,-0.904262228,0.145124253,-0.070817054,1.108076914
615026,-1.224666501,0.862338354,1.802038724,1.209813017,-0.210048229
144847,0.125435332,-0.197391218,0.398449773,-0.395265715,0.296099303
256349,-1.363600985,0.800304542,0.357239644,0.159026346,0.619696272
355142,0.574777065,-0.989804695,-0.405139499,0.641596188,-1.179689667
357406,0.574777065,-0.989804695,-0.405139499,0.641596188,-1.179689667
467749,-1.363600985,0.800304542,0.357239644,0.159026346,0.619696272
814751,-0.760743435,0.579621455,0.138519105,0.322418747,0.623398114
39656,-1.234259529,0.393119672,0.667824545,1.197943632,-1.127673052
204386,-0.865061482,0.631283882,0.056004403,0.117374505,-1.544352188
600069,-0.865061482,0.631283882,0.056004403,0.117374505,-1.544352188
94210,-2.037901263,-0.043671615,-0.185271126,0.694650179,-1.279320043
203008,0.466095369,-1.023935782,0.477971487,0.859803418,-0.776297878
361393,0.119069977,0.772225579,0.228988931,0.281521977,-1.261490452
574772,1.06942913,-1.119068237,0.068035168,-0.216052891,0.878470396
1426748,0.119069977,0.772225579,0.228988931,0.281521977,-1.261490452
1589051,0.119069977,0.772225579,0.228988931,0.281521977,-1.261490452
490004,1.261521965,-0.66405819,0.111086219,1.808757966,1.565587171
379125,-0.510902725,-0.090134983,0.099441548,0.012664506,0.491660868
247966,-1.735569818,-0.196658237,0.037750315,-0.793878782,1.245078151
806336,0.445376482,1.728395173,0.479707452,-0.191925493,0.938879095
742899,-1.851577427,0.364033433,0.066593618,0.523878334,0.170226999
154544,1.307092266,-0.770417916,-0.130226992,1.065051822,-1.093613604
858710,-1.022113241,0.745537906,0.247453611,0.298846666,-0.278737163
61912,-2.282887785,-0.232014306,-0.460914616,0.448886056,-1.344948072
74005,-2.282887785,-0.232014306,-0.460914616,0.448886056,-1.344948072
764702,-2.282887785,-0.232014306,-0.460914616,0.448886056,-1.344948072
43714,-0.035453344,0.290992719,0.00356084,-0.59549127,0.258519515
117844,-0.040307564,0.783256965,-0.182336378,0.391212467,-0.901225005
291043,0.525078336,-1.145370521,0.245697787,0.569667614,-0.884554631
239921,0.100217197,0.21405738,-0.018843164,0.976137289,-1.336925122
956707,-0.311530687,-0.166430192,0.551836433,0.470961667,-0.851238184
864209,-0.605456479,-0.027146491,0.03504266,-0.539431017,0.937635911
163229,-0.086951598,-0.232358387,0.164738556,-0.182482972,0.985878563
604852,0.733064223,-0.756971128,0.064284307,0.083099321,1.037222543
678009,-1.618500716,-0.108157638,-0.260475564,1.154895115,-1.151497714
781399,-2.537240962,-1.886156764,-0.08175126,0.152484373,0.11989115
75747,0.533100882,0.293522238,0.313953652,1.393128554,-1.215752758
631774,-0.146604847,0.051473871,0.287167704,1.046354798,-0.664900197
944310,-0.709327896,0.634230225,0.236593784,-0.09993296,0.477425301
59156,-0.367801336,0.521440326,0.832237358,0.590813621,-0.813866135
486047,0.540661093,0.339685607,0.475650844,-0.951139117,0.694205806
745964,-0.228761025,-0.703531634,0.897434294,1.095311672,-0.654286065
175286,-0.569896275,0.634264664,0.012006736,0.197054406,-0.952953808
811622,-0.986561216,0.010529106,0.303677763,-0.299114663,0.431128408
240252,-0.271874909,0.446107228,0.173439653,0.412546459,-0.908539855
295756,-0.096215387,-0.354805063,-0.07024204,0.576948894,0.646927116
114342,-0.178591408,-0.056678467,0.436533225,-0.354130849,0.953775035
2674162,0.570521624,-0.604873804,-0.341670122,-0.780810977,-2.003769041
162677,-1.185825324,0.227076315,0.848833012,0.971909214,0.287720636
246611,0.778212089,-1.593134308,0.458249391,-0.112844341,0.981682934
766893,0.025537909,0.595698773,0.456425247,0.037343157,1.665033753
899530,0.842866426,-0.381809263,-0.02668637,0.675709462,-0.296403634
922728,0.352639595,0.433957867,-0.136225054,-0.062809338,0.986226914
131627,0.538413848,0.285491628,0.009023593,0.683984364,-0.872383458
625739,0.089814887,-0.716757266,0.435977698,0.484036922,0.919821371
237205,0.467747366,0.8374251,-0.444741789,0.162711666,-1.655502795
615119,-1.062570165,0.194685328,0.451469889,4.87E-05,-1.568928543
1482685,0.467747366,0.8374251,-0.444741789,0.162711666,-1.655502795
239827,0.2473544,-0.086684393,-0.111662425,-1.012598006,0.044393238
266063,0.92235247,0.157817438,-0.023759277,-0.937063728,-1.759496211
605375,0.217580823,0.546132126,-0.407756762,-0.197763315,0.341825395
181694,-1.440868313,2.018839063,1.544983537,1.471840081,-0.090825817
110161,0.146910317,-0.296604681,-0.155810234,0.71249826,-1.423046351
270491,-1.158972547,0.259988764,0.171539162,-0.150476572,-1.02781678
72041,0.823365726,-0.638537309,0.763629376,-0.033530894,0.978302969
337119,0.204416992,-0.11757432,-0.191627531,-0.219157272,-0.260901884
617196,-2.354867092,-1.298573011,-0.72268521,0.142615381,-1.415281241
138699,-0.007474185,-0.501099893,1.123334469,0.172041778,1.153274122
833631,0.151382936,0.885598074,0.029584922,-0.091123985,0.403416299
783909,-0.00372394,0.821355707,0.493306275,0.82587025,0.083219936
757342,1.20080567,-1.051398354,0.245079429,-0.384959122,1.439530924
260206,0.620730152,-0.629924051,-0.206961187,-0.092187457,0.684209023
190946,-1.172938498,1.484480907,0.458395037,1.102698865,0.028922562
771438,-0.0827747,-1.168368849,-0.310953845,0.154419809,1.144060458
120521,-0.228358044,1.053767842,0.46573625,1.465773181,-1.161971382
142767,-1.652085363,0.384998027,0.348792249,0.69401349,0.206006014
686897,-0.950174571,0.051123077,-0.201606559,0.522479264,-1.393250383
685647,-0.037296889,-0.784685715,0.079365287,-0.137907064,1.031168939
38936,-0.87099896,-0.213318028,0.322486755,-0.116189829,-1.023921271
68551,0.621219301,0.089765668,-0.448627615,-0.387679898,0.243492516
311680,0.306828684,-0.327556676,-0.387950339,0.071885545,-1.682494988
855531,-1.324590025,-0.649616927,0.196241929,-0.92584721,0.866266674
569685,-0.127807102,0.87273035,0.143553157,1.01430928,-1.296673737
289599,1.214459229,-0.631094547,0.236058522,-1.052763827,0.587734655
354105,0.352564208,-0.804287723,0.389789844,-0.209136206,0.667152616
690254,0.461490017,0.208982144,0.039701968,0.233792641,0.500313624
740576,-2.505045357,-0.904235357,0.677027292,-0.052338614,-0.815141863
936206,-0.208096142,0.221211478,0.047448603,-0.181089625,0.424478848
761179,0.67946525,-0.266530034,0.351884668,-0.693569897,-1.64969799
781837,-1.486946219,0.017971455,-0.329099132,0.329155713,-0.841391083
38490,0.032632176,0.172309537,0.67023071,0.824253908,-1.367934705
193320,0.819888657,-0.78965407,0.080413269,0.485296839,-0.939258578
267411,-0.896265566,0.363941479,0.676510455,0.925044041,-1.264720141
952794,-1.335840289,0.486502771,1.543211594,0.134647366,0.046011117
11707,0.006526537,1.141307645,-0.253962035,0.302629018,-0.955767489
128099,0.016242864,1.149328911,0.754383469,0.386257719,-1.517578565
921965,-0.796941647,0.239575968,0.132682575,1.493166282,1.591178052
31685,-0.740390161,0.636470416,-0.173952029,-0.390028047,-0.236709119
205627,-2.014021921,-0.96034195,1.36146189,0.727089961,0.587217937
260038,-1.604960911,-0.054364859,0.472737185,0.484256939,-1.341325106
262255,0.222651264,-0.080117698,-0.351617975,-0.781039033,0.144673488
367188,0.95903916,0.027428009,-0.434182319,-0.648489809,-1.686122476
674887,0.279390979,1.267236896,-0.209090704,0.543306658,0.007719902
98465,0.724378944,-1.896553285,0.573213994,0.578682385,-0.277471452
478603,0.043453423,0.339490754,0.387016721,0.336863095,1.178433897
2784799,0.003167201,-1.025677668,-0.580902079,-0.862172,-1.675838136
211758,-1.028802324,0.28562169,0.821196978,0.847125329,0.224623434
326249,-0.222570853,-1.267512142,-0.872182481,-0.851676348,0.148269679
744796,-1.385128582,0.385249259,0.832508109,0.012193973,-0.317667129
