V1,artist_name,artist_id,Zdanceability,Zenergy,Zvalence,Ztempo,Zloudness,Zmode,Zkey,Zacousticness,Zinstrumentalness,Zliveness,Zspeechiness,Zduration_ms,Zpopularity,count,genre,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1
0,Frank Sinatra,792507,-1.190115403,-1.608125007,-0.903048878,-0.530782982,-1.032300497,0.466387085,-0.145897704,1.329673362,-0.477366675,0.313171301,-0.266495914,-0.683091436,-1.027356657,1369,Vocal,-1.448520085,-0.036382965,0.749532824,-0.8842169,0.023134779,-0.989384788
1,Vladimir Horowitz,119107,-1.495435585,-2.15971505,-1.593802095,-1.327896885,-3.167001936,0.466387085,-1.282783104,2.192501795,3.199482054,-0.102571145,-0.349496886,0.241505696,-2.721443897,1207,Unknown,-3.540913661,0.772483257,0.238542915,-0.516111518,-0.632518598,1.23807297
2,Johnny Cash,816890,0.550894739,-0.629824129,0.67668632,-0.277473698,-0.391566152,0.466387085,1.275209046,1.160068636,-0.469694979,0.400438809,0.378487846,-1.004599785,-0.981266816,1104,Country,-0.505772321,-1.267476631,0.979503467,-0.002293581,1.301622937,-0.594057288
3,Billie Holiday,79016,0.20193872,-1.77775358,-0.230726655,-0.544842475,-0.782236954,0.466387085,-0.145897704,1.915865311,-0.510730185,0.18938837,-0.096397486,-0.731477527,-1.812219436,1095,Vocal,-1.512815855,-1.142237916,0.906040091,-0.453669387,0.087797287,-0.474044898
4,Bob Dylan,66915,-0.24224579,-0.497676243,0.03391201,0.302711487,-0.293764711,0.466387085,0.422544996,0.742697911,-0.420172859,0.974941343,-0.068487636,0.124048008,-0.660267482,1092,Pop/Rock,-0.429952485,-0.104253632,0.919210997,-0.239300857,0.512394432,-0.131559576
5,The Rolling Stones,894465,-0.154587567,0.622342424,0.550204615,0.177756968,0.508712906,0.466387085,-1.567004454,-0.168817788,0.187568719,0.625993331,-0.242268036,-0.198736778,-0.37959971,1035,Pop/Rock,0.305577157,-0.042314526,0.598377887,-0.650492044,-1.238804364,0.991203089
6,The Beach Boys,41874,-0.313664141,-0.246817246,0.443472636,0.293942092,0.007358878,0.466387085,0.990987696,0.186254196,-0.072673062,-0.039065602,-0.341391028,-1.165160861,-0.87970505,994,Pop/Rock,-0.147207329,-0.560678434,0.416024815,-0.927601428,1.322568505,-0.117993612
7,Elvis Presley,180228,-0.366201359,-0.736619807,0.380023175,-0.462565685,-0.702747772,0.466387085,-1.567004454,1.349219716,-0.337050451,0.444370769,-0.151514871,-1.077125415,-0.468944716,990,Pop/Rock,-0.818549245,-0.795267984,0.865145927,-0.80144734,-1.237632553,-0.019509236
8,Wolfgang Amadeus Mozart,26350,-1.420440537,-2.071657287,-1.071617248,-0.613063757,-2.44465193,0.466387085,0.422544996,2.095856051,1.612414984,-0.059394307,-0.016068528,0.996395986,-2.31752555,938,Unknown,-2.822773769,0.583212521,0.41590735,-0.126249428,0.755350836,0.450341035
9,Miles Davis,423829,-0.629750554,-1.283149317,-0.635550708,-0.355060119,-1.093425002,-2.143775435,-1.567004454,1.058579585,0.311475706,0.20690652,-0.200715144,1.884651872,-1.277112113,864,Jazz,-1.490448489,0.699369257,-0.307643152,1.293908471,-0.998586118,1.361228027
