,International,Unknown,Easy Listening,Blues,R&B;,Avant-Garde,Stage & Screen,Jazz,Country,Latin,Pop/Rock,New Age,Religious,Reggae,Classical,Children's,Electronic,Comedy/Spoken,Folk,Vocal
International,15.3125,14.463054187192117,14.1875,16.90909090909091,14.17252931323283,19.333333333333332,14.68421052631579,16.03125,14.492063492063492,14.46938775510204,9.896384644055162,14.194444444444445,10.376623376623376,15.18421052631579,15.3125,19.5,10.467032967032967,9.324324324324325,18.17721518987342,18.048
Unknown,183.5,175.7463054187192,201.1875,202.38636363636363,167.48073701842546,183.33333333333334,160.76315789473685,183.4403409090909,181.32539682539684,173.41496598639455,137.2687290346627,153.91666666666666,137.93506493506493,176.57894736842104,170.9375,206.75,129.9835164835165,125.02702702702703,214.37974683544303,214.24
Easy Listening,3.546875,3.9642857142857144,7.0,4.3977272727272725,2.0217755443886096,6.777777777777778,7.526315789473684,6.818181818181818,3.208994708994709,2.401360544217687,1.9653373089824824,7.416666666666667,2.4155844155844157,1.5263157894736843,8.25,3.25,1.8736263736263736,2.27027027027027,7.037974683544304,6.592
Blues,23.25,21.93349753694581,24.1875,29.431818181818183,19.385259631490786,17.444444444444443,10.631578947368421,20.65625,24.571428571428573,20.653061224489797,13.679090570257175,11.11111111111111,11.831168831168831,20.42982456140351,13.5,35.0,9.736263736263735,14.405405405405405,30.11392405063291,27.912
R&B;,132.203125,123.13546798029557,75.4375,131.51136363636363,185.48743718592965,68.88888888888889,50.26315789473684,88.4715909090909,125.1931216931217,174.03401360544217,106.74729780096906,47.55555555555556,106.68831168831169,221.4561403508772,48.125,132.5,141.28021978021977,77.5945945945946,95.44303797468355,95.192
Avant-Garde,2.71875,2.0320197044334973,3.8125,1.7840909090909092,1.0385259631490786,4.0,5.394736842105263,4.5085227272727275,1.2328042328042328,1.0748299319727892,1.0260901975400671,5.638888888888889,1.5584415584415585,0.5877192982456141,5.875,2.0,1.8681318681318682,0.5675675675675675,3.5063291139240507,3.672
Stage & Screen,8.71875,7.523399014778325,17.875,4.590909090909091,3.1993299832495814,22.77777777777778,26.789473684210527,13.78125,4.224867724867725,4.156462585034014,5.321282146850541,25.083333333333332,10.103896103896103,1.043859649122807,26.75,4.25,6.5054945054945055,3.0,13.20253164556962,15.208
Jazz,88.171875,79.52093596059113,150.0,82.625,52.164154103852596,176.33333333333334,127.65789473684211,184.39204545454547,41.41005291005291,55.63265306122449,36.320163995527395,185.13888888888889,42.02597402597402,49.74561403508772,167.5625,47.5,78.02197802197803,36.62162162162162,99.16455696202532,85.984
Country,85.59375,84.41009852216749,75.8125,105.54545454545455,79.2680067001675,51.77777777777778,42.026315789473685,44.46875,135.82539682539684,93.72108843537416,81.9094297428252,25.833333333333332,68.44155844155844,61.79824561403509,43.625,124.5,34.29120879120879,34.78378378378378,113.9367088607595,108.144
Latin,33.234375,31.39408866995074,22.0625,34.5,42.85259631490787,17.555555555555557,16.07894736842105,23.232954545454547,36.44708994708995,44.02721088435374,28.143123369362655,13.63888888888889,25.584415584415584,50.85087719298246,14.875,33.0,29.63186813186813,13.405405405405405,26.50632911392405,26.568
Pop/Rock,414.875,453.5615763546798,329.5625,417.0568181818182,479.73701842546063,305.8888888888889,375.7105263157895,276.8380681818182,581.3835978835979,513.6598639455782,679.3909802459933,313.22222222222223,566.0909090909091,383.0,322.1875,380.5,504.16483516483515,268.72972972972974,362.1898734177215,361.92
New Age,7.984375,6.823891625615763,16.6875,4.545454545454546,2.8676716917922946,22.555555555555557,23.763157894736842,18.93465909090909,2.4603174603174605,3.3401360544217686,4.202758106597093,25.88888888888889,6.8311688311688314,1.3596491228070176,24.0625,1.75,8.543956043956044,1.8918918918918919,9.151898734177216,8.472
Religious,12.484375,13.080049261083744,11.625,10.352272727272727,13.760469011725293,13.333333333333334,20.473684210526315,9.193181818181818,13.941798941798941,13.401360544217686,16.246366008199775,14.61111111111111,21.064935064935064,10.043859649122806,17.0,13.0,13.164835164835164,16.405405405405407,14.189873417721518,18.528
Reggae,27.046875,24.79064039408867,10.875,26.46590909090909,42.28810720268007,7.444444444444445,3.1315789473684212,16.110795454545453,18.637566137566136,39.435374149659864,16.27357435706299,4.305555555555555,14.87012987012987,65.3859649122807,2.9375,26.25,28.13186813186813,27.513513513513512,10.708860759493671,10.776
Classical,3.828125,3.3682266009852215,8.25,2.4545454545454546,1.289782244556114,10.444444444444445,11.263157894736842,7.6164772727272725,1.8465608465608465,1.619047619047619,1.9213566902720836,10.694444444444445,3.5324675324675323,0.41228070175438597,9.875,2.0,2.89010989010989,0.8918918918918919,6.177215189873418,6.424
Children's,1.21875,1.0184729064039408,0.8125,1.5909090909090908,0.8877721943048577,0.8888888888888888,0.4473684210526316,0.5397727272727273,1.3174603174603174,0.8979591836734694,0.5672754379426016,0.19444444444444445,0.6753246753246753,0.9210526315789473,0.5,1.0,0.17582417582417584,1.2162162162162162,1.620253164556962,1.728
Electronic,29.765625,29.13423645320197,21.3125,20.136363636363637,43.07035175879397,37.77777777777778,31.157894736842106,40.34090909090909,16.51058201058201,36.68707482993197,34.19977636973537,43.19444444444444,31.116883116883116,44.91228070175438,32.875,8.0,63.69230769230769,23.405405405405407,11.518987341772151,10.328
Comedy/Spoken,5.390625,5.697044334975369,5.25,6.056818181818182,4.809045226130653,2.3333333333333335,2.9210526315789473,3.8494318181818183,3.4047619047619047,3.3741496598639458,3.705926202012672,1.9444444444444444,7.883116883116883,8.929824561403509,2.0625,11.25,4.758241758241758,23.72972972972973,6.379746835443038,7.104
Folk,22.4375,20.857142857142858,34.75,27.03409090909091,12.629815745393635,30.77777777777778,27.44736842105263,22.255681818181817,23.812169312169313,14.244897959183673,10.66455460305628,20.083333333333332,14.558441558441558,7.421052631578948,30.5,32.0,5.0,13.621621621621621,40.0,42.432
Vocal,35.25,32.98029556650246,51.5,39.64772727272727,19.931323283082076,51.0,50.026315789473685,30.53409090909091,35.76190476190476,22.591836734693878,16.861721953037645,29.416666666666668,30.07792207792208,11.81578947368421,50.1875,54.0,7.093406593406593,24.0,67.13924050632912,73.568
