influencer_id,influencer_name,influencer_main_genre,influencer_active_start
759491,The Exploited,Pop/Rock,1980
25462,Tricky,Electronic,1990
66915,Bob Dylan,Pop/Rock,1960
71209,Leonard Cohen,Pop/Rock,1950
91438,The Gun Club,Pop/Rock,1980
113823,Chrissie Hynde,Pop/Rock,1970
132710,Crime & the City Solution,Pop/Rock,1980
208582,Lesley Gore,Pop/Rock,1960
378288,Massive Attack,Electronic,1980
397880,Nick Cave,Pop/Rock,1970
489999,The Raincoats,Pop/Rock,1970
492331,Pretenders,Pop/Rock,1970
615119,Tom Waits,Pop/Rock,1970
651107,Marianne Faithfull,Pop/Rock,1960
747445,Patti Smith,Pop/Rock,1970
755156,Sonic Youth,Pop/Rock,1980
838272,Pere Ubu,Pop/Rock,1970
895136,Pixies,Pop/Rock,1980
899530,The Smiths,Pop/Rock,1980
960690,X,Pop/Rock,1970
988638,Captain Beefheart,Pop/Rock,1960
75264,Bad Brains,Pop/Rock,1970
91650,Black Flag,Pop/Rock,1970
112789,Korn,Pop/Rock,1990
134729,Faith No More,Pop/Rock,1980
175775,Eek-A-Mouse,Reggae,1980
295756,Santana,Pop/Rock,1960
359326,Primus,Pop/Rock,1990
446509,Metallica,Pop/Rock,1980
485135,311,Pop/Rock,1990
579839,Suicidal Tendencies,Pop/Rock,1980
741746,Sepultura,Pop/Rock,1980
789064,Extreme,Pop/Rock,1980
790820,Tool,Pop/Rock,1990
796045,Fishbone,Pop/Rock,1970
806829,Jane's Addiction,Pop/Rock,1980
825087,Living Colour,Pop/Rock,1980
863790,Rage Against the Machine,Pop/Rock,1990
883318,Red Hot Chili Peppers,Pop/Rock,1980
151290,B脙漏la Fleck,Jazz,1970
286662,Sam Bush,Country,1960
748421,Trey Anastasio,Pop/Rock,1980
5953,Alice Cooper,Pop/Rock,1960
12654,Spinal Tap,Comedy/Spoken,1980
59537,Blue Cheer,Pop/Rock,1960
61938,Blue 脙鈥搚ster Cult,Pop/Rock,1960
75264,Bad Brains,Pop/Rock,1970
81493,Killing Joke,Pop/Rock,1970
84209,Kiss,Pop/Rock,1970
91650,Black Flag,Pop/Rock,1970
130932,Crazy Horse,Pop/Rock,1960
139026,Led Zeppelin,Pop/Rock,1960
182598,MC5,Pop/Rock,1960
187581,Funkadelic,R&B;,1960
200968,Gene Simmons,Pop/Rock,1960
349157,Melvins,Pop/Rock,1980
354105,Jimi Hendrix,Pop/Rock,1960
379125,Neil Young,Pop/Rock,1960
390390,Ohio Players,R&B;,1950
446509,Metallica,Pop/Rock,1980
485791,Wipers,Pop/Rock,1970
490004,Ramones,Pop/Rock,1970
503913,Mountain,Pop/Rock,1960
562304,The Stooges,Pop/Rock,1960
574772,AC/DC,Pop/Rock,1970
604852,Aerosmith,Pop/Rock,1970
623985,Budgie,Pop/Rock,1960
754032,The Beatles,Pop/Rock,1960
755156,Sonic Youth,Pop/Rock,1980
771438,Black Sabbath,Pop/Rock,1960
772567,Iron Butterfly,Pop/Rock,1960
840402,The Velvet Underground,Pop/Rock,1960
8828,Spice Girls,Pop/Rock,1990
81403,Boney M.,Pop/Rock,1970
546214,Gwen Stefani,Pop/Rock,1980
628467,Britney Spears,Pop/Rock,1990
13384,Tanya Tucker,Country,1970
19241,Patty Loveless,Country,1970
65397,Bobbie Gentry,Country,1960
86312,The Judds,Country,1980
99753,Connie Smith,Country,1960
136640,Tammy Wynette,Country,1960
175286,Dolly Parton,Country,1950
210512,Janie Fricke,Country,1970
234325,Loretta Lynn,Country,1960
409954,Ray Price,Country,1940
749175,Skeeter Davis,Country,1950
804289,Lynn Anderson,Country,1960
50493,Soulfly,Pop/Rock,1990
96977,In Flames,Pop/Rock,1990
97325,Biohazard,Pop/Rock,1980
219966,Vision of Disorder,Pop/Rock,1990
561105,Hatebreed,Pop/Rock,1990
607053,At the Gates,Pop/Rock,1990
1528006,Olivier Messiaen,Classical,1930
559405,Daddy Yankee,Latin,1990
156886,Spyro Gyra,Jazz,1970
112017,Jo Stafford,Vocal,1930
203804,Victor Borge,Comedy/Spoken,1950
588679,Theodore Bikel,Folk,1950
744548,Spike Jones,Comedy/Spoken,1930
38936,Simon & Garfunkel,Pop/Rock,1950
41874,The Beach Boys,Pop/Rock,1960
249175,Les Baxter,Easy Listening,1940
639397,Caetano Veloso,Latin,1960
642542,Burt Bacharach,Pop/Rock,1950
754032,The Beatles,Pop/Rock,1960
765585,Baden Powell,Latin,1960
781837,Ant脙麓nio Carlos Jobim,Latin,1950
785283,Jo脙拢o Gilberto,International,1950
792507,Frank Sinatra,Vocal,1930
798543,Ed脙潞 Lobo,Latin,1960
183867,John Cage,Classical,1930
346336,Pink Floyd,Pop/Rock,1960
354105,Jimi Hendrix,Pop/Rock,1960
423829,Miles Davis,Jazz,1940
750519,Terry Riley,Avant-Garde,1960
754032,The Beatles,Pop/Rock,1960
840102,Jefferson Airplane,Pop/Rock,1960
988440,Grateful Dead,Pop/Rock,1960
133969,Joan Armatrading,Pop/Rock,1970
7689,TLC,R&B;,1990
160690,En Vogue,R&B;,1990
208774,Janet Jackson,R&B;,1970
262255,Mariah Carey,R&B;,1980
319347,R. Kelly,R&B;,1990
376204,Mary J. Blige,R&B;,1990
802302,Chaka Khan,R&B;,1960
820434,Whitney Houston,R&B;,1980
112462,Cream,Pop/Rock,1960
139026,Led Zeppelin,Pop/Rock,1960
176936,Elmore James,Blues,1930
187478,Eric Clapton,Pop/Rock,1960
192382,Deep Purple,Pop/Rock,1960
240865,Jeff Beck,Pop/Rock,1960
255371,Leslie West,Pop/Rock,1960
354105,Jimi Hendrix,Pop/Rock,1960
489303,The Yardbirds,Pop/Rock,1960
824599,Little Walter,Blues,1940
831381,Robin Trower,Pop/Rock,1960
894465,The Rolling Stones,Pop/Rock,1960
18977,Barry Manilow,Pop/Rock,1970
19297,America,Pop/Rock,1970
297894,Poco,Pop/Rock,1960
517607,Brand New,Pop/Rock,2000
583618,Sunny Day Real Estate,Pop/Rock,1990
626463,Stone Temple Pilots,Pop/Rock,1990
859509,Quicksand,Pop/Rock,1990
101895,Joe,R&B;,1990
319347,R. Kelly,R&B;,1990
239859,Leonard Bernstein,Classical,1940
304458,Jule Styne,Stage & Screen,1930
649950,George Martin,Pop/Rock,1950
691807,Stephen Sondheim,Stage & Screen,1950
754032,The Beatles,Pop/Rock,1960
178014,U-Roy,Reggae,1960
246768,Derrick Morgan,Reggae,1950
295276,Jimmy Cliff,Reggae,1960
603590,Aswad,Reggae,1970
745584,Steel Pulse,Reggae,1970
790988,Toots & the Maytals,Reggae,1960
819344,Desmond Dekker,Reggae,1960
855773,Prince Jazzbo,Reggae,1970
131627,Creedence Clearwater Revival,Pop/Rock,1960
137580,The Cramps,Pop/Rock,1970
170369,Lynyrd Skynyrd,Pop/Rock,1960
207735,Charlie Feathers,Pop/Rock,1950
240311,Link Wray,Pop/Rock,1950
289177,Sam the Sham & the Pharaohs,Pop/Rock,1960
309458,Screamin' Jay Hawkins,R&B;,1950
332141,Jerry Lee Lewis,Pop/Rock,1950
519637,Brian Setzer,Pop/Rock,1980
578028,Mojo Nixon,Pop/Rock,1980
584923,Dave Edmunds,Pop/Rock,1960
690254,ZZ Top,Pop/Rock,1970
744265,Tony Joe White,Pop/Rock,1960
767068,Keith Richards,Pop/Rock,1960
816890,Johnny Cash,Country,1950
921965,The Ventures,Pop/Rock,1950
923384,Molly Hatchet,Pop/Rock,1970
532957,Cab Calloway,Jazz,1930
805930,Charlie Christian,Jazz,1930
178014,U-Roy,Reggae,1960
91650,Black Flag,Pop/Rock,1970
123007,The Dickies,Pop/Rock,1970
490141,The Weirdos,Pop/Rock,1970
42234,Steven Halpern,New Age,1970
536122,George Duke,Jazz,1960
31380,Paula Abdul,Pop/Rock,1980
122754,Cyndi Lauper,Pop/Rock,1970
145443,Fito Olivares,Latin,1990
208774,Janet Jackson,R&B;,1970
237205,Madonna,Pop/Rock,1980
492331,Pretenders,Pop/Rock,1970
661524,Donna Summer,R&B;,1970
664817,Gloria Estefan,Pop/Rock,1970
806336,Los Tigres del Norte,Latin,1970
100160,The Kinks,Pop/Rock,1960
577627,The Who,Pop/Rock,1960
1190,Syreeta,R&B;,1960
7689,TLC,R&B;,1990
74195,Natalie Cole,R&B;,1950
101946,Isaac Hayes,R&B;,1960
134600,D'Angelo,R&B;,1990
164053,Faith Evans,R&B;,1990
165011,Dionne Warwick,R&B;,1960
170770,Erykah Badu,R&B;,1990
208774,Janet Jackson,R&B;,1970
279337,Sade,R&B;,1980
290072,Roberta Flack,R&B;,1960
316834,Marvin Gaye,R&B;,1950
361393,Prince,R&B;,1970
376204,Mary J. Blige,R&B;,1990
411761,Nina Simone,Vocal,1950
568861,The Sweet Inspirations,R&B;,1950
614823,Brenda Russell,R&B;,1970
622805,Stevie Wonder,R&B;,1960
866491,Maxwell,R&B;,1990
887806,Oleta Adams,Pop/Rock,1980
927555,Aretha Franklin,R&B;,1950
933172,Allen Toussaint,R&B;,1950
22124,Slayer,Pop/Rock,1980
84209,Kiss,Pop/Rock,1970
91650,Black Flag,Pop/Rock,1970
98465,Iron Maiden,Pop/Rock,1970
105422,Corrosion of Conformity,Pop/Rock,1980
163386,Exhorder,Pop/Rock,1980
192382,Deep Purple,Pop/Rock,1960
246611,Judas Priest,Pop/Rock,1960
260206,Van Halen,Pop/Rock,1970
287259,Saint Vitus,Pop/Rock,1980
315403,Venom,Pop/Rock,1970
371258,Napalm Death,Pop/Rock,1980
386253,Negative Approach,Pop/Rock,1980
406294,Megadeth,Pop/Rock,1980
424244,Ozzy Osbourne,Pop/Rock,1960
446509,Metallica,Pop/Rock,1980
490952,Anthrax,Pop/Rock,1980
501407,Mot脙露rhead,Pop/Rock,1970
561715,Godflesh,Pop/Rock,1980
579839,Suicidal Tendencies,Pop/Rock,1980
588450,Annihilator,Pop/Rock,1980
604852,Aerosmith,Pop/Rock,1970
673208,Manowar,Pop/Rock,1980
749970,Ted Nugent,Pop/Rock,1950
751910,Testament,Pop/Rock,1980
